id,nama_ikan,url,penjual,price,num_rate
506568,Ikan mahi mahi fillet (22seafoodamt),https://shopee.co.id/Variant-Ikan-Gurame-ikan-Bandeng-ikan-salam-ikan-kembung-Ikan-selar-Rp.-35.000-i.241984032.7132353910?sp_atk=de441de2-5d1b-4f56-b41f-dd202dcb28f2,22seafoodamt,"Rp35.000,00",10149
1020760,Ikan chana maru chana yellow sentarum b. (standfish27),https://shopee.co.id/Ikan-Guppy-Ikan-Guppy-Sepasang-Ikan-Guppy-Indukan-Ikan-Guppy-Murah-Ikan-Guppy-Paket-Red-Grass-i.388062784.2940872915?sp_atk=df8f6e3a-bf40-4a57-8c8d-c90e54f8e65e,standfish27,"Rp50.000,00",1916
859742,"Ikan gurame, ikan bandeng, ikan salam, ikan kembung, ikan selar rp. (fresheatbox2)",https://shopee.co.id/Ikan-Gindara-Steak-500-g-(FROZEN)-i.217228783.5045432307?sp_atk=b85f1eb9-71ff-4f4f-8525-0bd77f1db049,fresheatbox2,"Rp35.000,00",2507
383414,Ikan guppy ikan guppy sepasang ikan guppy indukan ikan guppy murah ikan guppy paket red grass (guppyberingin),https://shopee.co.id/Greenfarm-Ikan-ketul-vegetarian-ikan-tuna-cod-fish-420g-i.66631862.4091846235?sp_atk=714357b7-40f5-458b-84a6-b7f930b82f83,guppyberingin,"Rp4.275,00",5786
353044,Ikan gindara steak (sesaofficial),https://shopee.co.id/IKAN-DORI-FILLET-FROZEN-1-KG-PASAR-LAMPUNG-i.264543530.9173900145?sp_atk=399e40e7-ea25-4413-8b98-bf88161c25ff,sesaofficial,"Rp59.900,00",5334
447362,Ikan ketul vegetarian ikan tuna cod fish (hearthealthy),https://shopee.co.id/Ikan-Cue-keranjang-isi-2-atau-3-i.23006721.7632319425?sp_atk=1c9b3476-8891-4e81-b51d-0e8a3d468d94,hearthealthy,"Rp46.000,00",4005
831066,Ikan dori fillet frozen (pasarlampung),https://shopee.co.id/Ikan-Samge-1Kg-Hasil-Laut-SEGAR-Harian-Dan-BEERGARANSI-i.503935633.10141815441?sp_atk=f022dfb7-4f80-4062-a8e4-485e308db144,pasarlampung,"Rp60.000,00",2877
1266306,Ikan cue keranjang isi (warungsayurjaya),https://shopee.co.id/IKAN-KUWE-SEGAR-BEKU-FROZEN-FRESH-i.418589765.13618953339?sp_atk=c9ad7088-7e39-46f7-bedc-9b0f4b0f0151,warungsayurjaya,"Rp5.500,00",1026
1170894,Ikan samge (packikan_store),https://shopee.co.id/IKAN-TONGKOL-CAKALANG-SEGAR-i.407796683.8736936635?sp_atk=4f6218e6-9e67-47db-b490-e7aaf3a5386f,packikan_store,"Rp72.000,00",1165
948974,Ikan kuwe segar beku / frozen fresh (tokoikanfrozen),https://shopee.co.id/Ikan-Kakap-Merah-1Kg-Ikan-Segar-Hasil-Laut-SEGAR-Harian-Dan-BERGARANSI-i.503935633.10041712731?sp_atk=c524deaf-12e7-496e-8f21-65ae5090559c,tokoikanfrozen,"Rp65.000,00",1843
380970,Ikan tongkol cakalang segar (serbaikanfresh),https://shopee.co.id/Ikan-Bandeng-Presto-STANDAR-LOKAL-Segar-dan-Bergaransi-Pack-i.192151793.9073793054?sp_atk=4c507dda-977a-4d23-9389-1bb74f430174,serbaikanfresh,"Rp26.900,00",8797
1217778,Ikan kakap merah (packikan_store),https://shopee.co.id/IKAN-KEMBUNG-FRESH-500Gr-i.54618224.4837228069?sp_atk=10d668b8-e864-43b0-b657-fcf0b52cf647,packikan_store,"Rp89.000,00",1030
1246208,Ikan bandeng presto standar lokal segar dan bergaransi / pack (oishiseafood),https://shopee.co.id/Ikan-Dori-Fillet-1-Kg-i.277281508.9543821088?sp_atk=25bee182-5a47-4cbd-8c07-09fdd721997e,oishiseafood,"Rp37.550,00",1041
434774,Ikan kembung fresh (marisa.riana),https://shopee.co.id/Ikan-Asin-Selar-500gram-i.295987031.7892403378?sp_atk=1005d645-7d1e-4399-8cc9-beabbd93c895,marisa.riana,"Rp28.000,00",7884
308690,Ikan dori fillet (dadarshop),https://shopee.co.id/Ikan-Kembung-Banjar-500gram-Fresh-i.925342.7424690051?sp_atk=4f1af0f1-7846-486c-b757-ce0b4cf65663,dadarshop,"Rp40.000,00",16900
888716,Ikan asin selar (jambalrotiracer),https://shopee.co.id/Ikan-KILLIFISH-guenteri-red-SEJODOH-PROMO-!!-Beli-2-pair-GRATIS-1-pair-i.23835732.7720239305?sp_atk=82ec782f-57fb-46d9-bc50-1dca9992268c,jambalrotiracer,"Rp16.500,00",11441
321410,Ikan kembung banjar (indogrocer),https://shopee.co.id/ikan-cuek-tongkol-1-ekor-i.280648514.6753057959?sp_atk=36d05e3f-0087-41bc-9a46-55ec6890d0fa,indogrocer,"Rp23.900,00",22257
965832,"Ikan killifish guenteri red sejodoh,,promo !! beli (mc_ol_shop)",https://shopee.co.id/makanan-frozen-food-DAGING-IKAN-LAUT-TENGGIRI-GILING-KUALITAS-SUPER-PROMO-MURAH-500-GRAM-DAGING-IKAN-TENGGIRI-IKAN-GILING-TENGGIRI-GILING-250-GRAM-IKAN-TENGGIRI-GILING-(SUPER)-FRESH-DAN-SEGAR-1-KILO-i.200066317.5936766769?sp_atk=09b7f659-d1d5-46d5-b2eb-228a27f02f40,mc_ol_shop,"Rp150.000,00",8575
648826,Ikan cuek tongkol (singgalang7),https://shopee.co.id/HECHI-HISIT-SIRIP-IKAN-HIU-(SEDANG)-i.5281389.3462923570?sp_atk=b9dc5c3c-7dc1-4e56-82db-7e0a8e429e93,singgalang7,"Rp22.000,00",24481
1035472,Ikan laut tenggiri giling kualitas super promo murah (sentraikanlaut),https://shopee.co.id/IKAN-KEMBUNG-BANJAR-FROZEN-1KG-i.254996706.4355926279?sp_atk=76af69d1-3851-4ce3-838b-e7f5e0d81343,sentraikanlaut,"Rp30.400,00",3811
1154754,Ikan hiu (sedang) (merixu6),https://shopee.co.id/Ikan-Ekor-Biru-PREMIUM-LOKAL-Segar-dan-Bergaransi-Pack-i.192151793.10005560531?sp_atk=14fadfcf-b223-4e63-b5ef-b2f18e25b706,merixu6,"Rp160.000,00",4991
627540,Ikan kembung banjar frozen (lucky_seafood),https://shopee.co.id/TENGGIRI-STEAK-PUTIH-PREMIUM-STEAK-FRESH-MURAH-(SIP)-i.418057929.4684744992?sp_atk=7f9c8d7c-0733-48ef-b939-a4be73950f0d,lucky_seafood,"Rp55.000,00",7489
301442,Ikan ekor biru premium lokal segar dan bergaransi / pack (oishiseafood),https://shopee.co.id/Ikan-Asin-Sangge-Khas-Medan-500gr-i.37501527.559479620?sp_atk=b9b23fb9-3250-42bc-9b24-5ff0d745be71,oishiseafood,"Rp59.999,00",20195
